"About This Order:","Informationen zu dieser Bestellung:"
"Appearance","Optik"
"Account Dashboard","Konto Überblick"

"Back","Zurück"
"Back to Invitations","Back to Invitations"
"Balance","Balance"
"Balance Change","Balance Change"
"Balance History","Balance History"
"Balance limitations:","Balance limitations:"
"Based on your selection, you may be interested in the following items:","Basierend auf dieser Auswahl, sind Sie vielleicht auch an folgenden Produkten interessiert:"
"Billing address","Rechnungsadresse"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."

"Canceled","Abgebrochen"
"Carrier","Spediteur"
"Cart Subtotal:","Zwischensumme:"
"Categories","Produktgruppen"
"Cancel","Abbrechen"
"Change","Ändern"
"Change Password","Passwort ändern"
"Changing quantity for gift registry items is not allowed during checkout. You can change item quantity on the Gift Registry Info page or directly in your shopping cart.","Changing quantity for gift registry items is not allowed during checkout. You can change item quantity on the Gift Registry Info page or directly in your shopping cart."
"Check","Prüfen"
"Check Gift Card status and balance","Check Gift Card status and balance"
"Check items to add to the cart or","Überprüfen Sie die Artikel, die in den Einkaufswagen gelegt werden oder "
"Checkout","Kasse"
"Check status and balance","Status überprüfen"
"Choose an Amount...","Wählen Sie einen Betrag..."
"Choose a selection...","Wählen Sie aus..."
"City","Stadt"
"Clear cart","Einkaufswagen leeren"
"Close","Schließen"
"Close Window","Fenster schließen"
"Comment","Kommentar"
"Comments","Kommentare"
"Comment Text","Text kommentieren"
"Company","Firma"
"Compare","Vergleichen"
"Condition","Kondition"
"Confirm New Password","Neues Passwort bestätigen"
"Confirm Password","Passwort bestätigen"
"Contact Email Address","E-Mail-Adresse"
"Contact information","Kontaktmöglichkeiten"
"Continue","Fortfahren"
"Continue shopping","Einkauf fortsetzen"
"Copy to:","Kopie an:"
"Copy To:","Kopie an:"
"Copy to Wishlist","Kopie zu meinen Favoriten"
"Copy To Wishlist","Kopie zu meinen Favoriten"
"Country","Land"
"Create an Account","Konto erstellen"
"Created On","Erstellt am"
"Create Gift Registry","Create Gift Registry"
"Create New Wishlist","Neue Favoriten-Liste erstellen"
"Current exchange rates:","Current exchange rates:"
"Currently no new products","Momentan keine neuen Produkte verfügbar"
"Current Password","Aktuelles Passwort"
"Customer Name","Kundenname"
"Customer Service","Kundenservice"
"Customize and Add to Gift Registry","Customize and Add to Gift Registry"
"Compare products","Produktvergleich"
"Colour presentation of our products on this website (or printing) is not binding because the colour, brightness and contrast can be different depending on your monitor or printer. You can order colour panels at %s.","Die Farbdarstellung unserer Produkte auf dieser Webseite ist nicht bindend, da Farbe, Helligkeit und Kontraste, bezugnehmend auf die Darstellung Ihres Monitors oder Druckers, anders dargestellt werden können. Auf %s können Sie Musterbleche anfordern."
"Colour description","Farbbezeichnung"
"Colour definition","Farbtondefinition"
"Curing condition","Einbrennbedingung"
"Catalog advanced search","Katalog Erweiterte Suche"
"Change","Ändern"

"Date","Datum"
"Date Requested","Gewünschtes Datum"
"Default billing address","Standard Rechnungsadresse"
"Default shipping address","Standard Versandadresse"
"Delete","Löschen"
"Delete Wishlist","Favoriten löschen "
"Design","Design"
"Did you mean:","Meinten Sie:"
"Do you have any gift items in your order?","Do you have any gift items in your order?"

"Edit","Bearbeiten"
"Edit Account information","Kontoinformationen ändern"
"Email","E-Mail"
"Email:","E-Mail:"
"Email Address","E-Mail-Adresse"
"Email Address:","E-Mail-Adresse:"
"Email Notification Settings","Einstellungen E-Mail-Benachrichtigung"
"Enter at least two letters","Geben Sie mindestens 2 Buchstaben ein"
"Enter at least two letters of the name","Geben Sie mindestens 2 Buchstaben des Namens ein"
"Entered amount is too high","Eingegebene Menge ist zu groß"
"Entered amount is too low","Eingegebene Menge ist zu klein"
"Enter gift card code","Enter gift card code"
"Enter Gift Card code","Enter Gift Card code"
"Event","Event"
"Event Date","Event Date"
"Excl. Tax","Zuzüglich MwSt."

"Fax","Fax"
"File","Datei"
"File extensions allowed: .csv","Erlaubte Dateianhänge: .csv"
"File must contain two columns, with "sku" and "qty" in the header row.","Die Datei muss zwei Spalten enthalten mit "SKU" und "Menge" in der Kopfzeile."
"First Name","Vorname"
"First Name:","Vorname:"
"Forgot Your Password?","Passwort vergessen?"
"From","Von"
"Fulfilled","Erfüllt"
"Fulfilled Quantity","Erfüllte Menge"
"Failed","Fehlgeschlagen"
"From your account dashboard you can obtain an overview of the current activities and update your account information. Select a link below to consult or edit the data.","Von Ihrem Konto Überblick aus erhalten Sie einen Einblick in die aktuellen Kontoaktivitäten und können Ihre Kontoinformationen aktualisieren. Wählen Sie den nachfolgenden Link um weitere Informationen zu sehen oder diese zu aktualisieren."
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Von Ihrem Konto Überblick aus erhalten Sie einen Einblick in die aktuellen Kontoaktivitäten und können Ihre Kontoinformationen aktualisieren. Wählen Sie den nachfolgenden Link um weitere Informationen zu sehen oder diese zu aktualisieren."

"General brochures","Generelle Informationen"
"General Information","Allgemeine Informationen"
"Gift Card","Gift Card"
"Gift Cards","Gift Cards"
"Gift Card status","Gift Card status"
"Gift Message","Gift Message"
"Gift Options for Individual Items","Gift Options for Individual Items"
"Gift Options for the Entire Order","Gift Options for the Entire Order"
"Gift Options for this address.","Gift Options for this address."
"Gift Registry","Gift Registry"
"Gift Registry has no items.","Gift Registry has no items."
"Gift Registry ID","Gift Registry ID"
"Gift Registry Info","Gift Registry Info"
"Gift Registry Items","Gift Registry Items"
"Gift Registry Items Updated","Gift Registry Items Updated"
"Gift Registry Search","Gift Registry Search"
"Gift Registry Type","Gift Registry Type"
"Gift Wrapping","Gift Wrapping"
"Gift Wrapping Design","Gift Wrapping Design"
"Gloss / 60°","Glanzgrad / 60°"
"GMC","Materialnummer"
"GMC:","Materialnummer:"
"Go","Senden"
"Go to cart","zum Einkaufswagen"
"Go To Sale","Zur Kasse gehen"
"Go to Shopping Cart","Zum Einkaufswagen"
"Go to cart","zum Einkaufswagen"
"Gross weight","Gesamt-Gewicht"

"Height","Höhe"
"Hide Details","Details ausblenden"
"Home","Startseite"
"How much %s:","Wie viele %s"

"ID","ID"
"If you have an account with us, please log in.","Loggen Sie sich bitte ein, wenn Sie über ein Konto verfügen."
"Incl. Tax","Inklusive MwSt."
"Invite your friends by entering their email addresses below","Laden Sie Ihre Freunde ein, indem Sie deren E-Mail-Adressen unten angeben"
"Item","Artikel"
"Items in the Package","Artikel pro Packung"
"Items Ordered","Bestellte Artikel"
"Items Return Requested For","Artikelrückgabe gefordert für"
"is available for purchase in increments of %s only","ist nur in Schritten von %s Stück erhältlich."
"Items per carton","Kartoninhalt"
"Items per carton","Kartoninhalt"
"%s item","%s Artikel"
"%s items","%s Artikel"


"Last Name","Nachname"
"Last Name:","Nachname:"
"Last viewed","Zuletzt besucht"
"Launch letter","Newsletter"
"Leadtime","Standard-Lieferzeit"
"Learn more","Infos"
"Leave Comment","Kommentar hinterlassen"
"Length","Länge"
"Loading next step...","Nächster Schritt wird geladen..."
"Location","Ort"
"Login Information","Login Information"
"Login or Create an Account","Einloggen oder Konto erstellen"
"Log In","Anmelden"
"Log Out","Abmelden"

"Manage Items","Artikel bearbeiten"
"Market segment","Marktsegmente"
"Market Segment","Marktsegmente"
"Material code","Materialnummer"
"Material Code","Materialnummer"
"Material code:","Materialnummer:"
"Material Code:","Materialnummer:"
"Maximum balance is reached.","Maximales Guthaben wurde erreicht."
"Message","Nachricht"
"Message:","Nachricht:"
"Minimum balance for redeeming points is not reached.","Mindest-Guthaben für Einlösung von Punkten nicht erreicht."
"Move to:","Verschieben nach:"
"Move To:","erschieben nach:"
"Move to Wishlist","Als Favorit speichern"
"My dashboard","Konto Überblick"
"My Invitations","Meine Einladungen"
"My Orders","Meine Bestellungen"
"My Returns","Meine Rücksendungen"
"My account","Mein Konto"
"My Account","Mein Konto"
"My orders","Meine Bestellungen"
"Modify your search","Bitte ändern Sie Ihre Suchkriterien"

"Name","Name"
"Name:","Name:"
"New Customers","Neuer Kunde"
"New Password","Neues Passwort"
"Next","Nächste"
"Net weight","Nettogewicht"
"None","Keine"
"None.","Keine."
"Note","Hinweis"
"Number","Nummer"
"NEW","NEU"
"No items were found using the following search criteria.","Ihre Suche ergab keine Ergebnisse."

"OR","ODER"
"Order #%s / %s","Auftrag #%s / %s"
"Order by SKU","Bestellung nach SKU"
"Order date","Bestelldatum"
"Ordered","Bestellt"
"Order ID","Bestellnummer"
"Order shipping address","Versandadresse der Bestellung"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","DIE GESAMTSUMME WIRD GEZEIGT BEVOR SIE DIE BESTELLUNG ABSENDEN"
"Other Amount...","Alternative Menge..."
"Other people marked this product with these tags:","Andere Leute haben dieses Produkt mit diesen Tags gekennzeichnet:"
"Out of stock","Leider ausverkauft"
"Owner","Inhaber"
"Owner Email","Inhaber E-Mail"

"Package","Packung"
"Packages","Packungen"
"package(s) of","Karton(s) mit"
"Page:","Seite:"
"Password","Passwort"
"Pay Now","Jetzt bezahlen"
"per page","pro Seite"
"Personal information","Persönliche Informationen"
"Please do not refresh the page until you complete payment.","Bitte die Seite nicht aktualisieren, bis Sie die Zahlung abgeschlossen haben."
"Please enter at least 2 letters.","Bitte geben Sie mindestens 2 Buchstaben ein."
"Please enter the following information to create your account.","Bitte geben Sie die folgenden Informationen ein, damit wir Ihr Konto erstellen können."
"Please select gift registry type","Bitte wählen Sie einen Geschenkregistertyp."
"Please select one of the options.","Bitte eine Option auswählen"
"Please select region, state or province","Bitte wählen Sie Region, Land oder Stadt"
"Please wait, loading...","Ladevorgang, bitte warten Sie..."
"Points","Punkte"
"PO-Number","Ihre Referenz-Nummer"
"Preview Sale","Vorschau"
"Previous","Nächste"
"Price","Preis"
"Price Excl. Tax","Preis zuzüglich MwSt."
"Price Incl. Tax","Preis inklusive MwSt."
"Prices and availability of products will be checked during the checkout.","Preise und Verfügbarkeiten werden während des Bestellvorgangs geprüft."
"Print","Drucken"
"Privacy Settings","Privatsphähre-Einstellungen"
"Proceed to checkout","Zur Kasse gehen"
"Product","Produkt"
"Productcode:","Produktcode:"
"Product details","Produktdetails"
"Product groups","Produktgruppen"
"Product name","Produktname"
"Products Requiring Attention","Produkte, die Aufmerksamkeit erfordern"
"Product Tags","Produkttags"
"Product Variant","Produktvariante"
"Product information bulletin","Produktinformationen"
"product variant","Produktvariante"
"Product code","Produktcode"
"Product category","Produktgruppe"
"Product features","Produktmerkmale"
"Powder properties","Pulvereigenschaften"
"Package size","Verpackungseinheit"
"Paint system","Lackiersysteme"
"Product Catalogue","Produktkatalog"

"Quantity","Anzahl"
"Quantity:","Anzahl:"
"Qty Fulfilled","Menge erfüllt"
"Quantity To Return","Rücksendemenge"
"Questions","Fragen"

"Reason","Grund"
"Recently added item(s)","Kürzlich hinzugefügte(r) Artikel"
"Recipient:","Empfänger:"
"Recipient Email","Empfänger-E-Mail"
"Recipient Name","Empfängername"
"Recipients Information","Empfänger-Informationen"
"Redeem Gift Card","Geschenkgutschein einlösen"
"Refer to reward points history to see if a specific record expires and when.","Überprüfen Sie im Prämienpunkte-Verlauf, ob und wann eine bestimmte Aufzeichnung verfällt."
"Refunded","Rückerstattet"
"Refunded to Store Credit","Auf Shopguthaben zurückvergütet"
"Register","Registrieren"
"Registered Customers","Registrierte Kunden"
"Related products","Verwandte Produkte"
"Related search terms:","Verwandte Suchbegriffe:"
"Reload Form","Formular neu laden"
"Remaining","Verbleibend"
"Remaining Qty:","Verbleibende Menge:"
"Remaining Quantity","Verbleibende Menge"
"Remove","Löschen"
"Remove All","Alles löschen"
"Remove Email","E-Mail löschen"
"Remove from cart","Artikel löschen"
"Remove item","Artikel löschen"
"Remove Item","Artikel löschen"
"Remove Row","Zeile löschen"
"Mage_Sales::Reorder","Erneut bestellen"
"Reorder all products","Alle Produkte erneut bestellen"
"Requested","Angefordert"
"Requested Quantity","Angeforderte Menge "
"Request Information","Information anfordern"
"Request Qty","Menge anfordern"
"* Required Fields","* Pflichtfeld"
"Reset","Zurücksetzen"
"Resolution","Auflösung"
"Return","Rückgabe"
"Return #","Rückgabe #"
"Return Items Information","Informationen zu den zurückgesendeten Artikeln"
"Return Status","Rücksendestatus"
"Reward Points","Prämienpunkte"
"Reward points balance Information","Informationen über das Prämienpunkte-Guthaben"
"RMA","RMA"
"RSS Feed","RSS Feed"

"Shopping cart","Einkaufswagen"
"Save","Speichern"
"Save Address","Adresse speichern"
"Save in address book","In Adressbuch speichern"
"Save Subscription Settings","Abo-Einstellungen speichern"
"Search","Suche"
"Search By","Suche nach"
"Search entire store here...","Gesamten Shop durchsuchen..."
"Search options","Suchoptionen"
"Search results","Suchergebnisse"
"Search results for '%s'","Suchergebnisse für '%s'"
"Search results for: '%s'","Suchergebnisse für: '%s'"
"Safety data sheet","Sicherheitsdatenblatt"
"Select a billing address from your address book or enter a new address.","Wählen Sie eine Rechnungsadresse aus Ihrem Adressbuch oder geben Sie eine neue Adresse ein."
"select all","alle auswählen"
"Select a shipping address from your address book or enter a new address.","Wählen Sie eine Lieferadresse aus Ihrem Adressbuch oder geben Sie eine neue Adresse ein."
"Select State/Province...","Wählen Sie ein Land aus..."
"Sender:","Absender:"
"Sender Email","Absender E-Mail"
"Sender Name","Absender Name"
"Send Gift Receipt","Versenden sie den Geschenkbon"
"Send Invitations","Einladungen senden"
"Service information bulletin","Serviceinformationen"
"Set Ascending Direction","In aufsteigender Reihenfolge"
"Set Descending Direction","In absteigender Reihenfolge"
"Share","Teilen"
"Share Gift Registry","Geschenkregister teilen"
"Share Wishlist","Favoriten teilen"
"Ship From","Absender"
"Shipped","geliefert"
"Shipping address","Versandadresse"
"Shipping and Tracking Information","Versandinformationen"
"Ship to","Empfänger"
"Ship to different address","An eine andere Adresse liefern"
"Ship to recipient\'s address","Empfaengeradresse"
"Ship to this address","An diese Adresse liefern"
"Shopping Cart is Empty","Der Einkaufswagen ist leer."
"Show","anzeigen"
"Show as PDF","Als PDF anzeigen"
"Show Details","Details anzeigen"
"Sign Up for Newsletter","Newsletter abonnieren"
"SKU","SKU"
"Sort by","Sortieren nach"
"State/Province","Land"
"Status","Status"
"Store Credit","Shop-Guthaben"
"Street Address","Strasse"
"Sub-items:","Unterartikel:"
"Submit","Abschicken"
"Submit Comment","Kommentar abschicken"
"Subscribe for balance updates","Subscribe for balance updates"
"Subscribe for points expiration notifications","Ankündigungen bezüglich des Verfalls von Punkten abonnieren"
"Subscribe to RSS Feed","Für RSS Feed anmelden"
"Supplier Part No. (Local)","Lieferanten Teile Nummer"
"Stock-Service was last updated on %s at %s","Die Lagerbestandsinformation wurde am %s um %s aktualisiert und kann sich zwischenzeitlich geändert haben. Die aktuellste Lagerbestandsinformation wird Ihnen während des Bestellprozesses angezeigt."
"Surface finish","Oberfläche"
"Search options","Suchoptionen"

"Technical data sheet (TDS)","Technisches Datenblatt"
"Telephone","Telefonnummer"
"* The color shown may differ from the image.","* Die dargestellen Farben können vom Original abweichen."
"the request key is invalid","Der Zugriff ist fehlgeschlagen."
"There are no created gift registries yet.","There are no created gift registries yet."
"There are no products matching the selection.","Mit Ihrer Auswahl konnten keine Produkte gefunden werden "
"There are no sent invitations yet","There are no sent invitations yet"
"There is no balance history yet.","There is no balance history yet."
"This wishlist is private. Only you can view this wishlist.","This wishlist is private. Only you can view this wishlist."
"This wishlist is publicly visible.","This wishlist is publicly visible."
"To","An"
"Toggle Navigation","Navigation ein/aus blenden"
"To make search results narrower, specify gift registry type prior to searching. By default, all registry types are searched.","To make search results narrower, specify gift registry type prior to searching. By default, all registry types are searched."
"Total","Gesamtsumme"
"Total Fulfilled Quantity","Gelieferte Gesamtmenge"
"Total incl. tax","Gesamtsumme inkl. MwSt."
"Total Weight","Gesamtgewicht"
"Track this shipment","Ihre Sendung verfolgen"
"Type","Typ"
"Type Specific Options","Typspezifische Optionen"
"The product %s has been added to comparison list.","Das Produkt %s wurde zum Vergleichen hinzugefügt."

"unit(s) of","Einheit(en) mit"
"Unit contains","Gebinde enthält"
"Unit price","Einzelpreis"
"unselect all","Auswahl aufheben"
"Updated at","aktualisiert am"
"Update Gift Registry","Geschenkregister aktualisieren"
"Update Orderlist","Einkaufswagen aktualisieren"
"Update Wishlist","Favoriten aktualisieren"
"Up To","bis zu"
"Use as My Default billing address","Als Standard-Rechnungsadresse verwenden"
"Use as My Default shipping address","Als Standard-Lieferadresse verwenden"
"Use Billing Address","Rechnungsadresse verwenden"
"Use gift registry shipping address","Lieferadresse des Geschenkregisters verwenden"
"Use my reward points, %s available', Mage::helper('enterprise_reward","Bonuspunkte verwenden, %s available', Mage::helper('enterprise_reward"
"Use spaces to separate tags. Use single quotes (","Verwenden Sie Leerzeichen um Tags zu trennen. Verwenden Sie Apostrophe ("
"Use Store Credit","Shop-Guthaben verwenden"
"units","Gebinde"
"Usage Area","Anwendungsbereich"

"VAT Number","Ust-IdNr."
"View","Ansehen"
"View all","Alle ansehen"
"View Order","Bestellung ansehen"
"View Return","Returen ansehen"
"View Sale","verkäufe ansehen"
"VOC compliant","VOC-konform"
"VOC compliant:","VOC-konform:"

"Weight","Gewicht"
"Width","Breite"
"Wishlist:","Favoritenliste:"
"Wishlist Info","Details Favoritenliste"
"Wishlist Items","Artikel in der Favoritenliste"
"Wishlist Name","Favoritenname"
"Wishlist Search","Favoritensuche"
"Wrong or expired Gift Card Code.","Falscher oder abgelaufener Geschenkgutscheincode."

"You are about to delete your wish list.\nThis action cannot be undone.\nDo you want to proceed?","Sie sind dabei, Ihren Favoriten zu löschen.\nDieser Schritt kann nicht rückgängig gemacht werden.\nMöchten Sie fortfahren?"
"You are about to order ###.","Wollen Sie diesen Artikel wirklich dem Einkaufswagen hinzufügen?"
"You can leave a box blank if you don\'t wish to add a gift message for the item.","You can leave a box blank if you don\'t wish to add a gift message for the item."
"You can leave a box blank if you don\'t wish to add a gift message for whole order.","You can leave a box blank if you don\'t wish to add a gift message for whole order."
"You can leave this box blank if you do not wish to add a gift message for the item.","You can leave this box blank if you do not wish to add a gift message for the item."
"You can leave this box blank if you do not wish to add a gift message for this address.","You can leave this box blank if you do not wish to add a gift message for this address."
"You cannot send more invitations","Sie können keine weiteren Einladungen versenden"
"You have no items in your compare list.","Sie haben keine Artikel in Ihrer Vergleichsliste."
"You have no items in your shopping cart.","Es befinden sich keine Artikel in Ihrem Einkaufswagen."
"You have no items in your favourites list.","Sie haben keine Favoriten gespeichert."
"You have placed no orders.","Sie haben keine Bestellungen getätigt."
"You have placed no returns.","Sie haben keine Rücksendungen getätigt."
"You may also be interested in the following product(s)","Folgende Produkte könnten Sie auch interessieren"
"You must select items to add to cart","Bitte wählen Sie einen Artikel aus, der in den Einkaufswagen gelegt werden soll"
"Your current balance is:","Your current balance is:"
"Your language","Ihre Sprache"
"Your language:","Ihre Sprache:"
"Your search returned no results.","Ihre Suche ergab leider keine Treffer."
"Your search returns no results.","Ihre Suche ergibt leider keine Treffer."
"You still have not placed orders.","Sie haben noch keine gesendeten Bestellungen"
"You can not have more than %s products in your compare list.","Sie können nicht mehr als %s Produkte vergleichen."

"Zip/Postal Code","PLZ"



"Density","Dichte"
"Water","Wassergehalt"
"Solid","Festkörpergehalt"
"Solvent","Lösemittelgehalt"
"Size","Größe"
"Supplier name","Lieferant"
"Carton Size","Kartonformat"
"Shape","Form"
"Abrasive Grain","Körnung"
"Abrasive diameter","Durchmesser"
"Abrasive hole","Lochanzahl"
